pmid,pmcid,indra_evidences,indra_evidences_entity_constraint,indra_statements,indra_statements_entity_constraint
33384007,PMC8091795,44,1,44,1
33384043,PMC8259402,12,1,12,1
33384255,,1,1,1,1
33384330,PMC7812756,52,2,52,2
33384332,PMC7812794,88,3,88,3
33384338,PMC7826407,83,5,83,5
33385212,PMC7780996,11,2,11,2
33385332,PMC7854290,1,1,1,1
33386047,,2,1,2,1
33386711,PMC7776254,27,4,27,4
33386716,PMC7776338,6,1,6,1
33386742,,1,1,1,1
33386784,,5,2,5,2
33386801,,5,1,5,1
33386802,PMC7990457,132,6,132,6
33386804,PMC7990467,63,2,63,2
33387066,,5,1,5,1
33387069,,8,1,8,1
33387440,PMC7786834,13,2,13,2
33389929,PMC7944231,7,2,7,2
33390025,,2,1,2,1
33390034,,10,1,10,1
33390050,,6,2,6,2
33390051,PMC7808550,35,2,35,2
33390052,PMC7856014,44,8,44,8
33390067,,6,4,6,4
33390366,PMC7902212,27,1,27,1
33390389,,35,7,35,7
33390425,,9,5,9,5
33390474,,18,8,18,8
33390476,,7,1,7,1
33390479,,6,1,6,1
33390480,,3,1,3,1
33390482,,6,2,6,2
33390490,PMC7946515,43,4,43,4
33390519,,9,3,9,3
33390525,,1,1,1,1
33390526,,4,1,4,1
33390536,,9,1,9,1
33390540,,3,1,3,1
33390545,,11,3,11,3
33390552,,17,8,17,8
33390554,,9,2,9,2
33390585,PMC7791895,37,1,37,1
33390631,PMC7729824,67,7,67,7
33391389,PMC7774643,85,1,85,1
33392353,PMC7701233,5,3,5,3
33392482,PMC7773596,2,1,2,1
33392504,PMC7764503,7,2,7,2
33392508,PMC7764499,11,5,11,5
33393288,,2,1,2,1
33393325,,12,7,12,7
33393435,,4,1,4,1
33393496,PMC7773369,6,1,6,1
33393497,PMC7773347,11,4,11,4
33393510,PMC7773402,5,1,5,1
33393537,,4,3,4,3
33393560,PMC7937416,36,1,36,1
33393570,,3,1,3,1
33393580,,2,1,2,1
33393764,,12,8,12,8
33393765,,3,1,3,1
33393767,PMC7909074,36,2,36,2
33393781,,6,1,6,1
33393784,,2,1,2,1
33393815,,13,3,13,3
33393837,PMC8254814,13,1,13,1
33393839,PMC7801129,60,8,60,8
33393852,PMC7801122,168,29,168,29
33393859,,1,1,1,1
33393955,,22,5,22,5
33393968,PMC7797933,54,6,54,6
33393970,PMC7794257,57,4,57,4
33393974,PMC7797932,21,3,21,3
33394045,PMC7916736,43,3,43,3
33394582,PMC8315410,18,1,18,1
33394604,PMC7905798,35,1,35,1
33394628,PMC7959867,56,4,56,4
33394671,PMC7945987,1,1,1,1
33394672,PMC7789262,8,1,8,1
33394687,PMC7861498,72,9,72,9
33394707,PMC7895420,45,3,45,3
33394716,,6,1,6,1
33394718,,3,1,3,1
33394730,,4,3,4,3
33394732,PMC8221512,93,8,93,8
33394733,PMC8240624,83,9,83,9
33394740,PMC7880552,57,18,57,18
33394748,PMC8480198,20,5,20,5
33394752,PMC8018563,86,10,86,10
33394753,PMC8049098,65,6,65,6
33394970,,10,4,10,4
33394974,,1,1,1,1
33395067,PMC7952045,41,2,41,2
33395136,,4,3,4,3
33395186,,9,2,9,2
33395272,PMC7844819,30,1,30,1
33395281,,2,1,2,1
33395287,PMC7816196,31,5,31,5
33395289,PMC8023021,105,21,105,21
33395293,PMC8194388,52,2,52,2
33395297,,13,6,13,6
33395309,PMC7824974,15,3,15,3
33395310,,6,1,6,1
33395313,PMC8176937,73,2,73,2
33395323,,2,1,2,1
33395402,PMC7791896,54,8,54,8
33395403,PMC7792905,31,5,31,5
33395426,PMC7781380,15,6,15,6
33395710,,1,1,1,1
33397084,PMC7861142,31,1,31,1
33397101,PMC8034805,15,5,15,5
33397107,PMC8170846,39,1,39,1
33397150,PMC7784786,17,3,17,3
33397154,,1,1,1,1
33397161,,1,1,1,1
33397173,PMC7801106,8,1,8,1
33397186,PMC7889088,9,1,9,1
33397191,PMC7808324,41,1,41,1
33397194,PMC7831362,11,8,11,8
33397209,PMC7784836,45,5,45,5
33397691,PMC8088274,6,2,6,2
33397729,PMC7778272,3,2,3,2
33397791,PMC7789047,11,3,11,3
33397805,PMC7826355,32,1,32,1
33397806,PMC7826393,118,53,118,53
33397811,PMC7826336,140,32,140,32
33398247,PMC7774484,5,1,5,1
33398362,,8,2,8,2
33398503,,2,1,2,1
33398812,,5,1,5,1
33398984,,4,1,4,1
33398998,PMC8176898,60,46,60,46
33399003,PMC7955307,13,1,13,1
33399004,PMC7955321,49,3,49,3
33399005,PMC7955297,67,2,67,2
33399028,PMC7872537,281,12,281,12
33399167,PMC7989310,1,1,1,1
33399314,,15,3,15,3
33399327,PMC8260029,58,1,58,1
33399454,PMC7884018,22,1,22,1
33399457,,4,2,4,2
33399485,PMC7801090,49,1,49,1
33399495,PMC7801066,24,1,24,1
33399496,PMC7801040,16,4,16,4
33399596,,6,2,6,2
33399599,,7,1,7,1
33399855,PMC7786247,3,1,3,1
33399875,PMC8097292,8,4,8,4
33400324,,3,1,3,1
33400472,PMC7921520,12,8,12,8
33400499,,6,3,6,3
33400504,PMC7933111,64,1,64,1
33400518,PMC8603359,26,1,26,1
33400527,PMC7884001,4,2,4,2
33400612,,5,2,5,2
33400622,PMC8093844,4,2,4,2
33400743,PMC7878432,8,2,8,2
33400753,PMC8100892,98,15,98,15
33400860,,1,1,1,1
33400872,PMC7884002,29,1,29,1
33400881,,2,1,2,1
33401320,,1,1,1,1
33401889,PMC7927449,2,1,2,1
33401894,,2,1,2,1
33401899,,5,1,5,1
33401929,PMC7955296,41,1,41,1
33401933,PMC8257748,98,23,98,23
33401943,PMC7864890,80,13,80,13
33401948,PMC7801110,45,27,45,27
33401953,PMC7955306,22,3,22,3
33401961,,16,9,16,9
33401964,,8,4,8,4
33401977,,6,1,6,1
33401987,PMC7799378,223,21,223,21
33401992,PMC7881174,83,10,83,10
33402007,,1,1,1,1
33402019,PMC7879773,87,2,87,2
33402021,PMC7879760,89,2,89,2
33402029,,6,4,6,4
33402041,,6,2,6,2
33402044,,3,1,3,1
33402194,PMC7783966,1,1,1,1
33402335,PMC8039187,5,1,5,1
33402350,PMC7786134,12,1,12,1
33402369,PMC7786805,27,1,27,1
33402405,PMC7786798,28,4,28,4
33402434,PMC7826337,128,12,128,12
33402532,PMC7812744,48,6,48,6
33402572,,1,1,1,1
33402637,PMC8066924,7,3,7,3
33402660,,2,1,2,1
33403119,PMC7747110,15,2,15,2
33403848,PMC8063785,29,1,29,1
33403891,PMC7801117,296,43,296,43
33403918,PMC7801116,71,3,71,3
33403934,PMC7984653,18,10,18,10
33403942,,6,1,6,1
33403946,PMC7876912,98,3,98,3
33404020,PMC8753632,46,5,46,5
33404074,PMC8048664,28,5,28,5
33404249,,2,1,2,1
33404255,PMC8276525,14,1,14,1
33404264,PMC7801115,24,1,24,1
33404275,,4,2,4,2
33404278,PMC8526020,6,1,6,1
33404279,PMC7889180,16,4,16,4
33404280,PMC8632093,17,1,17,1
33404284,PMC7889023,162,27,162,27
33404287,PMC7808322,47,5,47,5
33404323,PMC7971294,5,1,5,1
33404349,PMC7801120,67,5,67,5
33404363,PMC7938643,130,17,130,17
33404364,PMC8294617,3,1,3,1
33404372,,2,2,2,2
33404376,,7,1,7,1
33404407,,1,1,1,1
33404415,,4,1,4,1
33404464,,3,1,3,1
33404577,,4,1,4,1
33404578,,15,3,15,3
33404605,PMC7791343,9,2,9,2
33404606,PMC7791345,23,6,23,6
33404619,PMC7788463,29,5,29,5
33404626,PMC7916733,59,3,59,3
33404775,,25,7,25,7
33405400,,8,6,8,6
33405482,PMC7924916,232,51,232,51
33405903,PMC8023651,42,3,42,3
33405911,PMC7883559,30,4,30,4
33405936,,4,1,4,1
33405944,,4,1,4,1
33405949,PMC8098855,18,16,18,16
33405952,PMC8098850,77,1,77,1
33405953,PMC8098852,50,28,50,28
33405954,PMC8098849,122,4,122,4
33405963,PMC8098856,102,18,102,18
33406006,,12,2,12,2
33406025,PMC7948007,8,1,8,1
33406028,PMC8260356,13,4,13,4
33406192,,4,2,4,2
33406328,PMC7845486,35,1,35,1
33406361,PMC7846978,56,1,56,1
33406371,PMC7859666,5,3,5,3
33406404,PMC7955659,28,6,28,6
33406509,,4,2,4,2
33406839,,43,8,43,8
33406849,,11,2,11,2
33406852,,6,1,6,1
33406854,PMC8034502,215,50,215,50
33406866,,7,7,7,7
33406884,PMC7938420,213,81,213,81
33406939,,6,2,6,2
33406951,,3,2,3,2
33406960,PMC7808321,28,2,28,2
33406962,,6,1,6,1
33407017,PMC7988769,9,2,9,2
33407018,,16,1,16,1
33407019,,9,2,9,2
33407953,,11,4,11,4
33407966,PMC8312217,7,6,7,6
33407975,PMC7900664,69,10,69,10
33407981,PMC8311968,89,2,89,2
33408128,PMC7803460,76,4,76,4
33408197,PMC7789454,15,4,15,4
33408214,PMC7789445,9,1,9,1
33408223,PMC7845598,85,2,85,2
33408225,PMC7845589,232,23,232,23
33408226,PMC7845590,41,1,41,1
33408227,PMC7802429,67,1,67,1
33408232,PMC7845591,65,1,65,1
33408233,PMC7845596,78,22,78,22
33408234,PMC7845595,58,9,58,9
33408251,PMC7826354,9,1,9,1
33408276,PMC8139219,1,1,1,1
33408296,,8,5,8,5
33408297,,12,2,12,2
33408298,,9,4,9,4
33408307,PMC8043025,11,3,11,3
33408314,,14,1,14,1
33409495,PMC7770522,55,20,55,20
33409509,PMC8256799,89,5,89,5
33409513,PMC7970653,23,2,23,2
33410125,,17,14,17,14
33410323,PMC8340299,2,1,2,1
33410329,,7,1,7,1
33410333,PMC7955317,117,8,117,8
33410337,PMC7955300,23,1,23,1
33410354,,37,18,37,18
33410357,,1,1,1,1
33410435,,7,3,7,3
33410446,,5,1,5,1
33410616,PMC7817327,22,1,22,1
33410619,PMC8367038,2,1,2,1
33410631,PMC7846430,54,3,54,3
33410656,PMC7933093,47,13,47,13
33410670,PMC8218882,18,1,18,1
33410695,,1,1,1,1
33410734,PMC8515863,3,3,3,3
33410737,,2,1,2,1
33410857,,10,4,10,4
33411494,PMC7880526,63,1,63,1
33411500,,2,1,2,1
33411523,PMC8569887,48,3,48,3
33411579,PMC8580747,8,6,8,6
33411631,PMC8717258,20,12,20,12
